X,Y,U,K,KU,H,HU
-0.75,-0.55,0.49,10,0.3,90,0.511111111
-0.75,-0.5,0.38,5,0.2,95,0.389473684
-0.75,-0.45,0.37,3,0.333333333,97,0.371134021
-0.75,-0.4,0.37,5,0.2,95,0.378947368
-0.75,-0.35,0.36,9,0.222222222,91,0.373626374
-0.75,-0.3,0.27,4,0.25,96,0.270833333
-0.75,-0.25,0.39,6,0.5,94,0.382978723
-0.75,-0.2,0.35,3,0.333333333,97,0.350515464
-0.75,-0.15,0.28,9,0.333333333,91,0.274725275
-0.75,-0.1,0.24,9,0.222222222,91,0.241758242
-0.75,-0.05,0.26,3,0.666666667,97,0.24742268
-0.75,0,0.26,4,0.25,96,0.260416667
-0.75,0.05,0.26,6,0.833333333,94,0.223404255
-0.75,0.1,0.27,6,0.166666667,94,0.276595745
-0.75,0.15,0.3,3,0,97,0.309278351
-0.75,0.2,0.3,9,0.333333333,91,0.296703297
-0.75,0.25,0.35,6,0.166666667,94,0.361702128
-0.75,0.3,0.41,5,0.4,95,0.410526316
-0.75,0.35,0.3,1,0,99,0.303030303
-0.75,0.4,0.42,5,0.6,95,0.410526316
-0.75,0.45,0.34,4,0.5,96,0.333333333
-0.75,0.5,0.37,7,0.142857143,93,0.387096774
-0.75,0.55,0.37,1,0,99,0.373737374
-0.75,0.6,0.46,6,0.833333333,94,0.436170213
-0.75,0.65,0.41,4,0.5,96,0.40625
-0.75,0.7,0.44,3,0.666666667,97,0.432989691
-0.75,0.75,0.47,5,1,95,0.442105263
-0.75,0.8,0.48,3,0.666666667,97,0.474226804
-0.75,0.85,0.41,6,0.166666667,94,0.425531915
-0.75,0.9,0.47,4,0,96,0.489583333
-0.75,0.95,0.52,4,0.5,96,0.520833333
-0.75,1,0.48,1,0,99,0.484848485
-0.7,-1,0.6,14,0.5,86,0.61627907
-0.7,-0.95,0.65,10,0.4,90,0.677777778
-0.7,-0.9,0.65,12,0.75,88,0.636363636
-0.7,-0.85,0.47,14,0.357142857,86,0.488372093
-0.7,-0.8,0.57,8,0.375,92,0.586956522
-0.7,-0.75,0.55,11,0.363636364,89,0.573033708
-0.7,-0.7,0.47,13,0.076923077,87,0.528735632
-0.7,-0.65,0.58,8,0.625,92,0.576086957
-0.7,-0.6,0.45,7,0.428571429,93,0.451612903
-0.7,-0.55,0.52,5,0.2,95,0.536842105
-0.7,-0.5,0.48,9,0.777777778,91,0.450549451
-0.7,-0.45,0.38,3,0.333333333,97,0.381443299
-0.7,-0.4,0.5,6,0.5,94,0.5
-0.7,-0.35,0.35,6,0.5,94,0.340425532
-0.7,-0.3,0.35,2,0,98,0.357142857
-0.7,-0.25,0.31,5,0.4,95,0.305263158
-0.7,-0.2,0.32,4,0.25,96,0.322916667
-0.7,-0.15,0.33,6,0.333333333,94,0.329787234
-0.7,-0.1,0.34,3,0.666666667,97,0.329896907
-0.7,-0.05,0.33,6,0.5,94,0.319148936
-0.7,0,0.26,2,0.5,98,0.255102041
-0.7,0.05,0.2,3,0.666666667,97,0.18556701
-0.7,0.1,0.32,1,1,99,0.313131313
-0.7,0.15,0.36,5,0,95,0.378947368
-0.7,0.2,0.3,6,0.166666667,94,0.308510638
-0.7,0.25,0.3,7,0.142857143,93,0.311827957
-0.7,0.3,0.29,6,0.333333333,94,0.287234043
-0.7,0.35,0.39,2,1,98,0.37755102
-0.7,0.4,0.46,3,0.666666667,97,0.453608247
-0.7,0.45,0.42,2,0.5,98,0.418367347
-0.7,0.5,0.43,1,0,99,0.434343434
-0.7,0.55,0.41,4,0.25,96,0.416666667
-0.7,0.6,0.42,4,0.25,96,0.427083333
-0.7,0.65,0.46,3,0.333333333,97,0.463917526
-0.7,0.7,0.46,1,1,99,0.454545455
-0.7,0.75,0.4,6,0.166666667,94,0.414893617
-0.7,0.8,0.42,5,0.4,95,0.421052632
-0.7,0.85,0.45,7,0.571428571,93,0.440860215
-0.7,0.9,0.54,3,0.333333333,97,0.546391753
-0.7,0.95,0.57,0,0,100,0.57
-0.7,1,0.52,2,0.5,98,0.520408163
-0.65,-1,0.63,16,0.3125,84,0.69047619
-0.65,-0.95,0.65,6,0.5,94,0.659574468
-0.65,-0.9,0.58,9,0.555555556,91,0.582417582
-0.65,-0.85,0.55,17,0.352941176,83,0.590361446
-0.65,-0.8,0.6,10,0.5,90,0.611111111
-0.65,-0.75,0.62,8,0.5,92,0.630434783
-0.65,-0.7,0.63,9,0.555555556,91,0.637362637
-0.65,-0.65,0.57,11,0.818181818,89,0.539325843
-0.65,-0.6,0.53,5,0.4,95,0.536842105
-0.65,-0.55,0.53,7,0.142857143,93,0.559139785
-0.65,-0.5,0.52,8,0.625,92,0.510869565
-0.65,-0.45,0.45,3,0,97,0.463917526
-0.65,-0.4,0.42,8,0.625,92,0.402173913
-0.65,-0.35,0.4,4,0.5,96,0.395833333
-0.65,-0.3,0.46,2,1,98,0.448979592
-0.65,-0.25,0.41,6,0.166666667,94,0.425531915
-0.65,-0.2,0.25,4,0.25,96,0.25
-0.65,-0.15,0.32,7,0.142857143,93,0.333333333
-0.65,-0.1,0.43,3,0.666666667,97,0.422680412
-0.65,-0.05,0.28,5,0.4,95,0.273684211
-0.65,0,0.37,3,1,97,0.350515464
-0.65,0.05,0.38,5,0.2,95,0.389473684
-0.65,0.1,0.3,3,0,97,0.309278351
-0.65,0.15,0.34,4,0,96,0.354166667
-0.65,0.2,0.29,2,1,98,0.275510204
-0.65,0.25,0.3,3,0,97,0.309278351
-0.65,0.3,0.32,8,0,92,0.347826087
-0.65,0.35,0.37,6,0.5,94,0.361702128
-0.65,0.4,0.44,3,0.666666667,97,0.432989691
-0.65,0.45,0.34,1,0,99,0.343434343
-0.65,0.5,0.41,6,0.166666667,94,0.425531915
-0.65,0.55,0.44,9,0.333333333,91,0.450549451
-0.65,0.6,0.48,2,0.5,98,0.479591837
-0.65,0.65,0.57,5,0.6,95,0.568421053
-0.65,0.7,0.44,3,0.333333333,97,0.443298969
-0.65,0.75,0.46,2,0,98,0.469387755
-0.65,0.8,0.38,5,0.2,95,0.389473684
-0.65,0.85,0.49,3,0,97,0.505154639
-0.65,0.9,0.53,7,0.428571429,93,0.537634409
-0.65,0.95,0.52,1,0,99,0.525252525
-0.65,1,0.54,6,0.5,94,0.542553191
-0.6,-1,0.64,11,0.363636364,89,0.674157303
-0.6,-0.95,0.61,10,0.2,90,0.655555556
-0.6,-0.9,0.61,13,0.153846154,87,0.67816092
-0.6,-0.85,0.65,8,0.375,92,0.673913043
-0.6,-0.8,0.61,8,0.5,92,0.619565217
-0.6,-0.75,0.54,9,0.555555556,91,0.538461538
-0.6,-0.7,0.59,7,0.571428571,93,0.591397849
-0.6,-0.65,0.58,7,0.428571429,93,0.591397849
-0.6,-0.6,0.58,4,0.75,96,0.572916667
-0.6,-0.55,0.57,6,0.5,94,0.574468085
-0.6,-0.5,0.54,4,0.25,96,0.552083333
-0.6,-0.45,0.5,1,1,99,0.494949495
-0.6,-0.4,0.47,3,0,97,0.484536082
-0.6,-0.35,0.51,6,0.666666667,94,0.5
-0.6,-0.3,0.43,4,0.5,96,0.427083333
