XY,ST,U,K,KU,H,HU
0.5,4.0,0.46,38.0,0.6052631578947368,62.0,0.3709677419354839
0.5,5.0,0.45,34.0,0.6176470588235294,66.0,0.36363636363636365
0.5,6.0,0.43,60.0,0.5166666666666667,40.0,0.3
0.5,7.0,0.48,50.0,0.58,50.0,0.38
0.5,8.0,0.44,59.0,0.4406779661016949,41.0,0.43902439024390244
0.5,9.0,0.31,57.0,0.3333333333333333,43.0,0.27906976744186046
0.5,10.0,0.36,49.0,0.42857142857142855,51.0,0.29411764705882354
0.6,2.0,0.13253012048192772,33.0,0.09090909090909091,50.0,0.16
0.6,3.0,0.41414141414141414,28.0,0.5,71.0,0.38028169014084506
0.6,4.0,0.49,27.0,0.5185185185185185,73.0,0.4794520547945205
0.6,5.0,0.43,34.0,0.5882352941176471,66.0,0.3484848484848485
0.6,6.0,0.43,28.0,0.4642857142857143,72.0,0.4166666666666667
0.6,7.0,0.46,37.0,0.40540540540540543,63.0,0.49206349206349204
0.6,8.0,0.45,29.0,0.3793103448275862,71.0,0.4788732394366197
0.6,9.0,0.37,42.0,0.30952380952380953,58.0,0.41379310344827586
0.6,10.0,0.37,29.0,0.20689655172413793,71.0,0.43661971830985913
0.7,2.0,0.15,25.0,0.04,55.0,0.2
0.7,3.0,0.39,22.0,0.3181818181818182,78.0,0.41025641025641024
0.7,4.0,0.39,17.0,0.5294117647058824,83.0,0.3614457831325301
0.7,5.0,0.45,17.0,0.4117647058823529,83.0,0.4578313253012048
0.7,6.0,0.43,14.0,0.21428571428571427,86.0,0.46511627906976744
0.7,7.0,0.5,22.0,0.3181818181818182,78.0,0.5512820512820513
0.7,8.0,0.53,15.0,0.2,85.0,0.5882352941176471
0.7,9.0,0.37,15.0,0.26666666666666666,85.0,0.38823529411764707
0.7,10.0,0.43,6.0,0.16666666666666666,94.0,0.44680851063829785
0.8,2.0,0.16216216216216217,20.0,0.05,54.0,0.2037037037037037
0.8,3.0,0.36,23.0,0.43478260869565216,77.0,0.33766233766233766
0.8,4.0,0.37,22.0,0.4090909090909091,78.0,0.358974358974359
0.8,5.0,0.55,11.0,0.6363636363636364,89.0,0.5393258426966292
0.8,6.0,0.51,12.0,0.5,88.0,0.5113636363636364
0.8,7.0,0.49,6.0,0.16666666666666666,94.0,0.5106382978723404
0.8,8.0,0.52,3.0,0.3333333333333333,97.0,0.5257731958762887
0.8,9.0,0.54,5.0,0.4,95.0,0.5473684210526316
0.8,10.0,0.59,4.0,0.5,96.0,0.59375
0.9,2.0,0.20481927710843373,26.0,0.19230769230769232,57.0,0.21052631578947367
0.9,3.0,0.3939393939393939,28.0,0.42857142857142855,71.0,0.38028169014084506
0.9,4.0,0.52,17.0,0.6470588235294118,83.0,0.4939759036144578
0.9,5.0,0.5,16.0,0.4375,84.0,0.5119047619047619
0.9,6.0,0.62,11.0,0.6363636363636364,89.0,0.6179775280898876
0.9,7.0,0.51,12.0,0.5,88.0,0.5113636363636364
0.9,8.0,0.61,7.0,0.7142857142857143,93.0,0.6021505376344086
0.9,9.0,0.64,8.0,0.75,92.0,0.6304347826086957
0.9,10.0,0.66,6.0,0.5,94.0,0.6702127659574468
1.0,2.0,0.16666666666666666,21.0,0.09523809523809523,63.0,0.19047619047619047
1.0,3.0,0.42,24.0,0.5,76.0,0.39473684210526316
1.0,4.0,0.53,25.0,0.56,75.0,0.52
1.0,5.0,0.46,23.0,0.43478260869565216,77.0,0.4675324675324675
1.0,6.0,0.58,17.0,0.7058823529411765,83.0,0.5542168674698795
1.0,7.0,0.63,24.0,0.5,76.0,0.6710526315789473
1.0,8.0,0.6,18.0,0.6666666666666666,82.0,0.5853658536585366
1.0,9.0,0.65,13.0,0.46153846153846156,87.0,0.6781609195402298
1.0,10.0,0.65,13.0,0.5384615384615384,87.0,0.6666666666666666
