XY,ST,U,K,KU,H,HU
-0.1,8.0,0.9,99.0,0.9090909090909091,1.0,0.0
-0.1,9.0,0.91,97.0,0.9278350515463918,3.0,0.3333333333333333
-0.1,10.0,0.97,100.0,0.97,0.0,0
0.0,2.0,0.1595744680851064,55.0,0.12727272727272726,39.0,0.20512820512820512
0.0,3.0,0.48,68.0,0.5882352941176471,32.0,0.25
0.0,4.0,0.7,87.0,0.7471264367816092,13.0,0.38461538461538464
0.0,5.0,0.75,89.0,0.8426966292134831,11.0,0.0
0.0,6.0,0.86,94.0,0.9042553191489362,6.0,0.16666666666666666
0.0,7.0,0.94,100.0,0.94,0.0,0
0.0,8.0,0.87,98.0,0.8877551020408163,2.0,0.0
0.0,9.0,0.98,99.0,0.9797979797979798,1.0,1.0
0.0,10.0,0.97,100.0,0.97,0.0,0
0.1,2.0,0.12631578947368421,39.0,0.15384615384615385,56.0,0.10714285714285714
0.1,3.0,0.48,73.0,0.589041095890411,27.0,0.18518518518518517
0.1,4.0,0.65,87.0,0.7126436781609196,13.0,0.23076923076923078
0.1,5.0,0.81,92.0,0.8695652173913043,8.0,0.125
0.1,6.0,0.85,95.0,0.8947368421052632,5.0,0.0
0.1,7.0,0.88,96.0,0.90625,4.0,0.25
0.1,8.0,0.93,98.0,0.9489795918367347,2.0,0.0
0.1,9.0,0.95,99.0,0.9595959595959596,1.0,0.0
0.1,10.0,0.97,99.0,0.9797979797979798,1.0,0.0
0.2,2.0,0.1797752808988764,30.0,0.1,59.0,0.22033898305084745
0.2,3.0,0.49,67.0,0.6119402985074627,33.0,0.24242424242424243
0.2,4.0,0.66,81.0,0.7283950617283951,19.0,0.3684210526315789
0.2,5.0,0.77,91.0,0.8241758241758241,9.0,0.2222222222222222
0.2,6.0,0.88,95.0,0.8947368421052632,5.0,0.6
0.2,7.0,0.88,96.0,0.9166666666666666,4.0,0.0
0.2,8.0,0.89,95.0,0.9263157894736842,5.0,0.2
0.2,9.0,0.93,98.0,0.9489795918367347,2.0,0.0
0.2,10.0,0.97,99.0,0.9797979797979798,1.0,0.0
0.3,2.0,0.08888888888888889,48.0,0.041666666666666664,42.0,0.14285714285714285
0.3,3.0,0.45,63.0,0.5714285714285714,37.0,0.24324324324324326
0.3,4.0,0.62,84.0,0.6785714285714286,16.0,0.3125
0.3,5.0,0.72,87.0,0.7931034482758621,13.0,0.23076923076923078
0.3,6.0,0.77,84.0,0.8571428571428571,16.0,0.3125
0.3,7.0,0.79,92.0,0.8369565217391305,8.0,0.25
0.3,8.0,0.8,89.0,0.8876404494382022,11.0,0.09090909090909091
0.3,9.0,0.89,97.0,0.9072164948453608,3.0,0.3333333333333333
0.3,10.0,0.94,98.0,0.9489795918367347,2.0,0.5
0.4,2.0,0.17894736842105263,46.0,0.10869565217391304,49.0,0.24489795918367346
0.4,3.0,0.49,57.0,0.6491228070175439,43.0,0.27906976744186046
0.4,4.0,0.53,72.0,0.625,28.0,0.2857142857142857
0.4,5.0,0.68,82.0,0.7926829268292683,18.0,0.16666666666666666
0.4,6.0,0.64,80.0,0.7,20.0,0.4
0.4,7.0,0.7,85.0,0.8,15.0,0.13333333333333333
0.4,8.0,0.83,95.0,0.8736842105263158,5.0,0.0
0.4,9.0,0.76,89.0,0.8314606741573034,11.0,0.18181818181818182
0.4,10.0,0.84,91.0,0.9120879120879121,9.0,0.1111111111111111
0.5,2.0,0.11578947368421053,42.0,0.11904761904761904,53.0,0.11320754716981132
0.5,3.0,0.47,51.0,0.6470588235294118,49.0,0.2857142857142857
0.5,4.0,0.5,59.0,0.6779661016949152,41.0,0.24390243902439024
0.5,5.0,0.5,62.0,0.6774193548387096,38.0,0.21052631578947367
0.5,6.0,0.6,69.0,0.6811594202898551,31.0,0.41935483870967744
0.5,7.0,0.63,74.0,0.7702702702702703,26.0,0.23076923076923078
0.5,8.0,0.67,85.0,0.7294117647058823,15.0,0.3333333333333333
0.5,9.0,0.76,87.0,0.8160919540229885,13.0,0.38461538461538464
0.5,10.0,0.71,84.0,0.7976190476190477,16.0,0.25
0.6,2.0,0.16129032258064516,37.0,0.10810810810810811,56.0,0.19642857142857142
0.6,3.0,0.4,50.0,0.5,50.0,0.3
0.6,4.0,0.43,55.0,0.5636363636363636,45.0,0.26666666666666666
0.6,5.0,0.48,55.0,0.6363636363636364,45.0,0.28888888888888886
0.6,6.0,0.56,61.0,0.6229508196721312,39.0,0.46153846153846156
0.6,7.0,0.51,64.0,0.640625,36.0,0.2777777777777778
0.6,8.0,0.52,73.0,0.6027397260273972,27.0,0.2962962962962963
0.6,9.0,0.59,72.0,0.6944444444444444,28.0,0.32142857142857145
0.6,10.0,0.55,79.0,0.620253164556962,21.0,0.2857142857142857
